Locality Name,Income Limit Type,Affordable Housing Baseline Estimate,Three Year Commitment Estimate,Annualized Commitment Estimate
Hillrose Town,Own AMI - Morgan County,29,3,1
Hillrose Town,State Median Income,29,3,1
Hinsdale County (Unincorporated),"Neighboring AMI - Archuleta County, Hinsdale County, Mineral County, Saguache County, San Juan County",22,2,1
Hinsdale County (Unincorporated),Neighboring AMI - Gunnison County,22,2,1
Hinsdale County (Unincorporated),Neighboring AMI - La Plata County,29,3,1
Hinsdale County (Unincorporated),Neighboring AMI - Ouray County,22,2,1
Hinsdale County (Unincorporated),Own AMI - Hinsdale County,22,2,1
Hinsdale County (Unincorporated),State Median Income,22,2,1
Holly Town,"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",66,6,2
Holly Town,"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",63,6,2
Holly Town,Own AMI - Prowers County,66,6,2
Holly Town,State Median Income,66,6,2
Holyoke City,"Neighboring AMI - Chase County, NE",179,17,6
Holyoke City,"Neighboring AMI - Logan County, Phillips County, Sedgwick County, Yuma County",192,18,6
Holyoke City,"Neighboring AMI - Perkins County, NE",192,18,6
Holyoke City,Own AMI - Phillips County,192,18,6
Holyoke City,State Median Income,192,18,6
Hooper Town,"Neighboring AMI - Alamosa County, Conejos County, Costilla County, Huerfano County, Rio Grande County, Saguache County",20,2,1
Hooper Town,Own AMI - Alamosa County,20,2,1
Hooper Town,State Median Income,20,2,1
Hot Sulphur Springs Town,Neighboring AMI - Boulder County,116,11,4
Hot Sulphur Springs Town,"Neighboring AMI - Clear Creek County, Gilpin County",117,11,4
Hot Sulphur Springs Town,Neighboring AMI - Eagle County,117,11,4
Hot Sulphur Springs Town,Neighboring AMI - Jackson County,83,8,3
Hot Sulphur Springs Town,Neighboring AMI - Larimer County,112,11,4
Hot Sulphur Springs Town,Neighboring AMI - Routt County,112,11,4
Hot Sulphur Springs Town,Neighboring AMI - Summit County,112,11,4
Hot Sulphur Springs Town,Own AMI - Grand County,82,8,3
Hot Sulphur Springs Town,State Median Income,82,8,3
Hotchkiss Town,"Neighboring AMI - Delta County, Mesa County, Montrose County",138,13,5
Hotchkiss Town,Neighboring AMI - Gunnison County,137,13,5
Hotchkiss Town,Own AMI - Delta County,138,13,5
Hotchkiss Town,State Median Income,137,13,5
Hudson Town,"Neighboring AMI - Adams County, Broomfield County",258,24,8
Hudson Town,Neighboring AMI - Boulder County,256,24,8
Hudson Town,"Neighboring AMI - Kimball County, NE",141,13,5
Hudson Town,"Neighboring AMI - Laramie County, WY",201,19,7
Hudson Town,Neighboring AMI - Larimer County,245,23,8
Hudson Town,"Neighboring AMI - Logan County, Morgan County",161,15,5
Hudson Town,Own AMI - Weld County,246,23,8
Hudson Town,State Median Income,159,15,5
Huerfano County (Unincorporated),"Neighboring AMI - Alamosa County, Costilla County, Custer County, Huerfano County, Las Animas County, Pueblo County, Saguache County",176,16,6
Huerfano County (Unincorporated),Own AMI - Huerfano County,176,16,6
Huerfano County (Unincorporated),State Median Income,176,16,6
Hugo Town,"Neighboring AMI - Arapahoe County, Elbert County",175,16,6
Hugo Town,Neighboring AMI - Cheyenne County,143,13,5
Hugo Town,"Neighboring AMI - Crowley County, Kiowa County, Kit Carson County, Lincoln County, Pueblo County, Washington County",143,13,5
Hugo Town,Neighboring AMI - El Paso County,143,13,5
Hugo Town,Own AMI - Lincoln County,143,13,5
Hugo Town,State Median Income,143,13,5
Idaho Springs City,"Neighboring AMI - Clear Creek County, Gilpin County, Jefferson County, Park County",287,26,9
Idaho Springs City,Neighboring AMI - Grand County,131,12,4
Idaho Springs City,Neighboring AMI - Summit County,267,25,9
Idaho Springs City,Own AMI - Clear Creek County,287,26,9
Idaho Springs City,State Median Income,131,12,4
Ignacio Town,"Neighboring AMI - Archuleta County, Dolores County, Hinsdale County, Montezuma County, San Juan County",114,11,4
Ignacio Town,"Neighboring AMI - San Juan County, NM",76,7,3
Ignacio Town,Own AMI - La Plata County,146,14,5
Ignacio Town,State Median Income,113,11,4
Iliff Town,"Neighboring AMI - Cheyenne County, NE",47,5,2
Iliff Town,"Neighboring AMI - Kimball County, NE",46,5,2
Iliff Town,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",47,5,2
Iliff Town,Neighboring AMI - Weld County,50,5,2
Iliff Town,Own AMI - Logan County,47,5,2
Iliff Town,State Median Income,47,5,2
Jackson County (Unincorporated),"Neighboring AMI - Albany County, WY",34,4,2
Jackson County (Unincorporated),"Neighboring AMI - Carbon County, WY",34,4,2
Jackson County (Unincorporated),Neighboring AMI - Grand County,34,4,2
Jackson County (Unincorporated),Neighboring AMI - Larimer County,51,5,2
Jackson County (Unincorporated),Neighboring AMI - Routt County,52,5,2
Jackson County (Unincorporated),Own AMI - Jackson County,34,4,2
Jackson County (Unincorporated),State Median Income,34,4,2
Jamestown Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",20,2,1
Jamestown Town,Neighboring AMI - Grand County,10,1,1
Jamestown Town,Neighboring AMI - Larimer County,19,2,1
Jamestown Town,Neighboring AMI - Weld County,19,2,1
Jamestown Town,Own AMI - Boulder County,19,2,1
Jamestown Town,State Median Income,10,1,1
Jefferson County (Unincorporated),"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",5899,531,177
Jefferson County (Unincorporated),Neighboring AMI - Boulder County,5787,521,174
Jefferson County (Unincorporated),Neighboring AMI - Teller County,1930,174,58
Jefferson County (Unincorporated),Own AMI - Jefferson County,5899,531,177
Jefferson County (Unincorporated),State Median Income,1929,174,58
Johnstown Town,"Neighboring AMI - Adams County, Broomfield County",1094,99,33
Johnstown Town,"Neighboring AMI - Albany County, WY",389,36,12
Johnstown Town,Neighboring AMI - Boulder County,1076,97,33
Johnstown Town,Neighboring AMI - Grand County,390,36,12
Johnstown Town,Neighboring AMI - Jackson County,391,36,12
Johnstown Town,"Neighboring AMI - Kimball County, NE",334,31,11
Johnstown Town,"Neighboring AMI - Laramie County, WY",471,43,15
Johnstown Town,Neighboring AMI - Larimer County,734,67,23
Johnstown Town,"Neighboring AMI - Logan County, Morgan County",391,36,12
Johnstown Town,Neighboring AMI - Weld County,754,68,23
Johnstown Town,Own AMI - Larimer County,734,67,23
Johnstown Town,Own AMI - Weld County,754,68,23
Johnstown Town,State Median Income,389,36,12
Julesburg Town,"Neighboring AMI - Cheyenne County, NE",291,27,9
Julesburg Town,"Neighboring AMI - Deuel County, NE",285,26,9
Julesburg Town,"Neighboring AMI - Logan County, Phillips County, Sedgwick County",291,27,9
Julesburg Town,"Neighboring AMI - Perkins County, NE",291,27,9
Julesburg Town,Own AMI - Sedgwick County,291,27,9
Julesburg Town,State Median Income,291,27,9
Keenesburg Town,"Neighboring AMI - Adams County, Broomfield County",115,11,4
Keenesburg Town,Neighboring AMI - Boulder County,113,11,4
Keenesburg Town,"Neighboring AMI - Kimball County, NE",38,4,2
Keenesburg Town,"Neighboring AMI - Laramie County, WY",72,7,3
Keenesburg Town,Neighboring AMI - Larimer County,109,10,4
Keenesburg Town,"Neighboring AMI - Logan County, Morgan County",53,5,2
Keenesburg Town,Own AMI - Weld County,111,10,4
Keenesburg Town,State Median Income,53,5,2
Kersey Town,"Neighboring AMI - Adams County, Broomfield County",142,13,5
Kersey Town,Neighboring AMI - Boulder County,141,13,5
Kersey Town,"Neighboring AMI - Kimball County, NE",80,8,3
Kersey Town,"Neighboring AMI - Laramie County, WY",102,10,4
Kersey Town,Neighboring AMI - Larimer County,132,12,4
Kersey Town,"Neighboring AMI - Logan County, Morgan County",94,9,3
Kersey Town,Own AMI - Weld County,133,12,4
Kersey Town,State Median Income,94,9,3
Kim Town,"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",6,1,1
Kim Town,"Neighboring AMI - Colfax County, NM",6,1,1
Kim Town,"Neighboring AMI - Union County, NM",6,1,1
Kim Town,Own AMI - Las Animas County,6,1,1
Kim Town,State Median Income,6,1,1
Kiowa County (Unincorporated),"Neighboring AMI - Bent County, Crowley County, Kiowa County, Lincoln County, Otero County, Prowers County",61,6,2
Kiowa County (Unincorporated),Neighboring AMI - Cheyenne County,61,6,2
Kiowa County (Unincorporated),"Neighboring AMI - Greeley County, KS",55,5,2
Kiowa County (Unincorporated),Own AMI - Kiowa County,61,6,2
Kiowa County (Unincorporated),State Median Income,61,6,2
Kiowa Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County",124,12,4
Kiowa Town,Neighboring AMI - El Paso County,78,8,3
Kiowa Town,Neighboring AMI - Lincoln County,79,8,3
Kiowa Town,Own AMI - Elbert County,124,12,4
Kiowa Town,State Median Income,78,8,3
Kit Carson County (Unincorporated),Neighboring AMI - Cheyenne County,109,10,4
Kit Carson County (Unincorporated),"Neighboring AMI - Cheyenne County, KS",98,9,3
Kit Carson County (Unincorporated),"Neighboring AMI - Kit Carson County, Lincoln County, Washington County, Yuma County",109,10,4
Kit Carson County (Unincorporated),"Neighboring AMI - Sherman County, KS",98,9,3
Kit Carson County (Unincorporated),"Neighboring AMI - Wallace County, KS",108,10,4
Kit Carson County (Unincorporated),Own AMI - Kit Carson County,109,10,4
Kit Carson County (Unincorporated),State Median Income,108,10,4
Kit Carson Town,"Neighboring AMI - Greeley County, KS",40,4,2
Kit Carson Town,"Neighboring AMI - Kiowa County, Kit Carson County, Lincoln County",42,4,2
Kit Carson Town,"Neighboring AMI - Wallace County, KS",42,4,2
Kit Carson Town,Own AMI - Cheyenne County,42,4,2
Kit Carson Town,State Median Income,42,4,2
Kremmling Town,Neighboring AMI - Boulder County,140,13,5
Kremmling Town,"Neighboring AMI - Clear Creek County, Gilpin County",141,13,5
Kremmling Town,Neighboring AMI - Eagle County,141,13,5
Kremmling Town,Neighboring AMI - Jackson County,89,9,3
Kremmling Town,Neighboring AMI - Larimer County,132,12,4
Kremmling Town,Neighboring AMI - Routt County,132,12,4
Kremmling Town,Neighboring AMI - Summit County,132,12,4
Kremmling Town,Own AMI - Grand County,89,9,3
Kremmling Town,State Median Income,89,9,3
La Jara Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",88,8,3
La Jara Town,"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",75,7,3
La Jara Town,Own AMI - Conejos County,88,8,3
La Jara Town,State Median Income,87,8,3
La Junta City,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",1081,98,33
La Junta City,Own AMI - Otero County,1081,98,33
La Junta City,State Median Income,1079,98,33
La Plata County (Unincorporated),"Neighboring AMI - Archuleta County, Dolores County, Hinsdale County, Montezuma County, San Juan County",1233,111,37
La Plata County (Unincorporated),"Neighboring AMI - San Juan County, NM",814,74,25
La Plata County (Unincorporated),Own AMI - La Plata County,1858,168,56
La Plata County (Unincorporated),State Median Income,1225,111,37
La Salle Town,"Neighboring AMI - Adams County, Broomfield County",224,21,7
La Salle Town,Neighboring AMI - Boulder County,223,21,7
La Salle Town,"Neighboring AMI - Kimball County, NE",88,8,3
La Salle Town,"Neighboring AMI - Laramie County, WY",158,15,5
La Salle Town,Neighboring AMI - Larimer County,218,20,7
La Salle Town,"Neighboring AMI - Logan County, Morgan County",144,13,5
La Salle Town,Own AMI - Weld County,220,20,7
La Salle Town,State Median Income,143,13,5
La Veta Town,"Neighboring AMI - Alamosa County, Costilla County, Custer County, Huerfano County, Las Animas County, Pueblo County, Saguache County",80,8,3
La Veta Town,Own AMI - Huerfano County,80,8,3
La Veta Town,State Median Income,80,8,3
Lafayette City,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",1790,162,54
Lafayette City,Neighboring AMI - Grand County,623,57,19
Lafayette City,Neighboring AMI - Larimer County,1129,102,34
Lafayette City,Neighboring AMI - Weld County,1142,103,35
Lafayette City,Own AMI - Boulder County,1760,159,53
Lafayette City,State Median Income,622,56,19
Lake City Town,"Neighboring AMI - Archuleta County, Hinsdale County, Mineral County, Saguache County, San Juan County",58,6,2
Lake City Town,Neighboring AMI - Gunnison County,58,6,2
Lake City Town,Neighboring AMI - La Plata County,87,8,3
Lake City Town,Neighboring AMI - Ouray County,58,6,2
Lake City Town,Own AMI - Hinsdale County,58,6,2
Lake City Town,State Median Income,58,6,2
Lake County (Unincorporated),"Neighboring AMI - Chaffee County, Lake County",258,24,8
Lake County (Unincorporated),Neighboring AMI - Eagle County,397,36,12
Lake County (Unincorporated),Neighboring AMI - Park County,397,36,12
Lake County (Unincorporated),Neighboring AMI - Pitkin County,353,32,11
Lake County (Unincorporated),Neighboring AMI - Summit County,354,32,11
Lake County (Unincorporated),Own AMI - Lake County,258,24,8
Lake County (Unincorporated),State Median Income,258,24,8
Lakeside Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",NA,NA,NA
Lakeside Town,Neighboring AMI - Boulder County,NA,NA,NA
Lakeside Town,Neighboring AMI - Teller County,NA,NA,NA
Lakeside Town,Own AMI - Jefferson County,NA,NA,NA
Lakeside Town,State Median Income,NA,NA,NA
Lakewood City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",15024,1353,451
Lakewood City,Neighboring AMI - Boulder County,14840,1336,446
Lakewood City,Neighboring AMI - Teller County,5241,472,158
Lakewood City,Own AMI - Jefferson County,15024,1353,451
Lakewood City,State Median Income,5236,472,158
Lamar City,"Neighboring AMI - Baca County, Bent County, Kiowa County, Prowers County",966,87,29
Lamar City,"Neighboring AMI - Greeley County, KS, Hamilton County, KS, Stanton County, KS",899,81,27
Lamar City,Own AMI - Prowers County,966,87,29
Lamar City,State Median Income,964,87,29
Larimer County (Unincorporated),"Neighboring AMI - Albany County, WY",1576,142,48
Larimer County (Unincorporated),Neighboring AMI - Boulder County,2726,246,82
Larimer County (Unincorporated),Neighboring AMI - Grand County,1578,143,48
Larimer County (Unincorporated),Neighboring AMI - Jackson County,1588,143,48
Larimer County (Unincorporated),"Neighboring AMI - Laramie County, WY",1941,175,59
Larimer County (Unincorporated),Neighboring AMI - Weld County,2568,232,78
Larimer County (Unincorporated),Own AMI - Larimer County,2539,229,77
Larimer County (Unincorporated),State Median Income,1576,142,48
Larkspur Town,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",32,3,1
Larkspur Town,Neighboring AMI - El Paso County,28,3,1
Larkspur Town,Neighboring AMI - Teller County,28,3,1
Larkspur Town,Own AMI - Douglas County,32,3,1
Larkspur Town,State Median Income,28,3,1
Las Animas City,"Neighboring AMI - Baca County, Bent County, Kiowa County, Las Animas County, Otero County, Prowers County",429,39,13
Las Animas City,Own AMI - Bent County,429,39,13
Las Animas City,State Median Income,427,39,13
Las Animas County (Unincorporated),"Neighboring AMI - Baca County, Bent County, Costilla County, Huerfano County, Las Animas County, Otero County, Pueblo County",372,34,12
Las Animas County (Unincorporated),"Neighboring AMI - Colfax County, NM",279,26,9
Las Animas County (Unincorporated),"Neighboring AMI - Union County, NM",279,26,9
Las Animas County (Unincorporated),Own AMI - Las Animas County,372,34,12
Las Animas County (Unincorporated),State Median Income,371,34,12
Leadville City,"Neighboring AMI - Chaffee County, Lake County",258,24,8
Leadville City,Neighboring AMI - Eagle County,312,29,10
Leadville City,Neighboring AMI - Park County,311,28,10
Leadville City,Neighboring AMI - Pitkin County,306,28,10
Leadville City,Neighboring AMI - Summit County,307,28,10
Leadville City,Own AMI - Lake County,258,24,8
Leadville City,State Median Income,256,24,8
Limon Town,"Neighboring AMI - Arapahoe County, Elbert County",253,23,8
Limon Town,Neighboring AMI - Cheyenne County,199,18,6
Limon Town,"Neighboring AMI - Crowley County, Kiowa County, Kit Carson County, Lincoln County, Pueblo County, Washington County",199,18,6
Limon Town,Neighboring AMI - El Paso County,199,18,6
Limon Town,Own AMI - Lincoln County,199,18,6
Limon Town,State Median Income,199,18,6
Lincoln County (Unincorporated),"Neighboring AMI - Arapahoe County, Elbert County",106,10,4
Lincoln County (Unincorporated),Neighboring AMI - Cheyenne County,91,9,3
Lincoln County (Unincorporated),"Neighboring AMI - Crowley County, Kiowa County, Kit Carson County, Lincoln County, Pueblo County, Washington County",91,9,3
Lincoln County (Unincorporated),Neighboring AMI - El Paso County,91,9,3
Lincoln County (Unincorporated),Own AMI - Lincoln County,91,9,3
Lincoln County (Unincorporated),State Median Income,91,9,3
Littleton City,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Gilpin County, Jefferson County, Park County",4356,393,131
Littleton City,"Neighboring AMI - Adams County, Arapahoe County, Denver County, Douglas County, Elbert County, Jefferson County",4356,393,131
Littleton City,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",4356,393,131
Littleton City,Neighboring AMI - Boulder County,4311,388,130
Littleton City,Neighboring AMI - El Paso County,1553,140,47
Littleton City,"Neighboring AMI - Lincoln County, Washington County",1586,143,48
Littleton City,Neighboring AMI - Teller County,1565,141,47
Littleton City,Own AMI - Arapahoe County,4356,393,131
Littleton City,Own AMI - Douglas County,4356,393,131
Littleton City,Own AMI - Jefferson County,4356,393,131
Littleton City,State Median Income,1562,141,47
Lochbuie Town,"Neighboring AMI - Adams County, Arapahoe County, Broomfield County, Denver County, Jefferson County",879,80,27
Lochbuie Town,"Neighboring AMI - Adams County, Broomfield County",879,80,27
Lochbuie Town,Neighboring AMI - Boulder County,869,79,27
Lochbuie Town,"Neighboring AMI - Kimball County, NE",399,36,12
Lochbuie Town,"Neighboring AMI - Laramie County, WY",548,50,17
Lochbuie Town,Neighboring AMI - Larimer County,877,79,27
Lochbuie Town,"Neighboring AMI - Logan County, Morgan County",524,48,16
Lochbuie Town,"Neighboring AMI - Morgan County, Washington County",524,48,16
Lochbuie Town,Neighboring AMI - Weld County,889,81,27
Lochbuie Town,Own AMI - Adams County,879,80,27
Lochbuie Town,Own AMI - Weld County,889,81,27
Lochbuie Town,State Median Income,520,47,16
Log Lane Village Town,Neighboring AMI - Adams County,150,14,5
Log Lane Village Town,"Neighboring AMI - Logan County, Morgan County, Washington County",123,12,4
Log Lane Village Town,Neighboring AMI - Weld County,142,13,5
Log Lane Village Town,Own AMI - Morgan County,123,12,4
Log Lane Village Town,State Median Income,123,12,4
Logan County (Unincorporated),"Neighboring AMI - Cheyenne County, NE",370,34,12
Logan County (Unincorporated),"Neighboring AMI - Kimball County, NE",273,25,9
Logan County (Unincorporated),"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",370,34,12
Logan County (Unincorporated),Neighboring AMI - Weld County,497,45,15
Logan County (Unincorporated),Own AMI - Logan County,370,34,12
Logan County (Unincorporated),State Median Income,367,34,12
Lone Tree City,"Neighboring AMI - Arapahoe County, Douglas County, Elbert County, Jefferson County",728,66,22
Lone Tree City,Neighboring AMI - El Paso County,26,3,1
Lone Tree City,Neighboring AMI - Teller County,27,3,1
Lone Tree City,Own AMI - Douglas County,728,66,22
Lone Tree City,State Median Income,27,3,1
Longmont City,"Neighboring AMI - Adams County, Broomfield County",7435,670,224
Longmont City,Neighboring AMI - Boulder County,7332,660,220
Longmont City,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",7435,670,224
Longmont City,Neighboring AMI - Grand County,2479,224,75
Longmont City,"Neighboring AMI - Kimball County, NE",2246,203,68
Longmont City,"Neighboring AMI - Laramie County, WY",3931,354,118
Longmont City,Neighboring AMI - Larimer County,4896,441,147
Longmont City,"Neighboring AMI - Logan County, Morgan County",2506,226,76
Longmont City,Neighboring AMI - Weld County,4973,448,150
Longmont City,Own AMI - Boulder County,7332,660,220
Longmont City,Own AMI - Weld County,4973,448,150
Longmont City,State Median Income,2475,223,75
Louisville City,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",749,68,23
Louisville City,Neighboring AMI - Grand County,237,22,8
Louisville City,Neighboring AMI - Larimer County,380,35,12
Louisville City,Neighboring AMI - Weld County,384,35,12
Louisville City,Own AMI - Boulder County,732,66,22
Louisville City,State Median Income,237,22,8
Loveland City,"Neighboring AMI - Albany County, WY",3187,287,96
Loveland City,Neighboring AMI - Boulder County,7778,701,234
Loveland City,Neighboring AMI - Grand County,3191,288,96
Loveland City,Neighboring AMI - Jackson County,3223,291,97
Loveland City,"Neighboring AMI - Laramie County, WY",4554,410,137
Loveland City,Neighboring AMI - Weld County,6096,549,183
Loveland City,Own AMI - Larimer County,6008,541,181
Loveland City,State Median Income,3187,287,96
Lyons Town,"Neighboring AMI - Broomfield County, Gilpin County, Jefferson County",80,8,3
Lyons Town,Neighboring AMI - Grand County,51,5,2
Lyons Town,Neighboring AMI - Larimer County,64,6,2
Lyons Town,Neighboring AMI - Weld County,64,6,2
Lyons Town,Own AMI - Boulder County,80,8,3
Lyons Town,State Median Income,51,5,2
Manassa Town,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Costilla County, Rio Grande County",93,9,3
Manassa Town,"Neighboring AMI - Rio Arriba County, NM, Taos County, NM",74,7,3
Manassa Town,Own AMI - Conejos County,93,9,3
Manassa Town,State Median Income,93,9,3
Mancos Town,"Neighboring AMI - Apache County, AZ",59,6,2
Mancos Town,"Neighboring AMI - Dolores County, Montezuma County, San Juan County",158,15,5
Mancos Town,Neighboring AMI - La Plata County,194,18,6
Mancos Town,"Neighboring AMI - San Juan County, NM",103,10,4
Mancos Town,"Neighboring AMI - San Juan County, UT",158,15,5
Mancos Town,Own AMI - Montezuma County,158,15,5
Mancos Town,State Median Income,158,15,5
Manitou Springs City,"Neighboring AMI - Crowley County, Fremont County, Lincoln County, Pueblo County",521,47,16
Manitou Springs City,"Neighboring AMI - Douglas County, Elbert County",819,74,25
Manitou Springs City,Neighboring AMI - Teller County,517,47,16
Manitou Springs City,Own AMI - El Paso County,515,47,16
Manitou Springs City,State Median Income,517,47,16
Manzanola Town,"Neighboring AMI - Bent County, Crowley County, Kiowa County, Las Animas County, Otero County, Pueblo County",62,6,2
Manzanola Town,Own AMI - Otero County,62,6,2
Manzanola Town,State Median Income,62,6,2
Marble Town,"Neighboring AMI - Chaffee County, Delta County, Hinsdale County, Mesa County, Montrose County, Saguache County",5,1,1
Marble Town,Neighboring AMI - Ouray County,5,1,1
Marble Town,Neighboring AMI - Pitkin County,9,1,1
Marble Town,Own AMI - Gunnison County,5,1,1
Marble Town,State Median Income,5,1,1
Mead Town,"Neighboring AMI - Adams County, Broomfield County",205,19,7
Mead Town,Neighboring AMI - Boulder County,201,19,7
Mead Town,"Neighboring AMI - Kimball County, NE",83,8,3
Mead Town,"Neighboring AMI - Laramie County, WY",124,12,4
Mead Town,Neighboring AMI - Larimer County,204,19,7
Mead Town,"Neighboring AMI - Logan County, Morgan County",125,12,4
Mead Town,Own AMI - Weld County,209,19,7
Mead Town,State Median Income,125,12,4
Meeker Town,Neighboring AMI - Garfield County,419,38,13
Meeker Town,Neighboring AMI - Moffat County,403,37,13
Meeker Town,Neighboring AMI - Routt County,437,40,14
Meeker Town,"Neighboring AMI - Uintah County, UT",403,37,13
Meeker Town,Own AMI - Rio Blanco County,403,37,13
Meeker Town,State Median Income,402,37,13
Merino Town,"Neighboring AMI - Cheyenne County, NE",42,4,2
Merino Town,"Neighboring AMI - Kimball County, NE",39,4,2
Merino Town,"Neighboring AMI - Logan County, Morgan County, Phillips County, Sedgwick County, Washington County, Yuma County",42,4,2
Merino Town,Neighboring AMI - Weld County,52,5,2
Merino Town,Own AMI - Logan County,42,4,2
Merino Town,State Median Income,42,4,2
Mesa County (Unincorporated),"Neighboring AMI - Delta County, Mesa County, Montrose County",4795,432,144
Mesa County (Unincorporated),Neighboring AMI - Garfield County,5605,505,169
Mesa County (Unincorporated),"Neighboring AMI - Grand County, UT, San Juan County, UT",4792,432,144
Mesa County (Unincorporated),Neighboring AMI - Gunnison County,4769,430,144
Mesa County (Unincorporated),Neighboring AMI - Pitkin County,6486,584,195
Mesa County (Unincorporated),Own AMI - Mesa County,4795,432,144
Mesa County (Unincorporated),State Median Income,4767,430,144
Milliken Town,"Neighboring AMI - Adams County, Broomfield County",599,54,18
Milliken Town,Neighboring AMI - Boulder County,590,54,18
Milliken Town,"Neighboring AMI - Kimball County, NE",172,16,6
Milliken Town,"Neighboring AMI - Laramie County, WY",272,25,9
Milliken Town,Neighboring AMI - Larimer County,576,52,18
Milliken Town,"Neighboring AMI - Logan County, Morgan County",264,24,8
Milliken Town,Own AMI - Weld County,587,53,18
Milliken Town,State Median Income,261,24,8
Mineral County (Unincorporated),"Neighboring AMI - Archuleta County, Hinsdale County, Mineral County, Rio Grande County, Saguache County",21,2,1
Mineral County (Unincorporated),Own AMI - Mineral County,21,2,1
Mineral County (Unincorporated),State Median Income,21,2,1
Minturn Town,Neighboring AMI - Garfield County,23,3,1
Minturn Town,Neighboring AMI - Grand County,15,2,1
Minturn Town,Neighboring AMI - Lake County,15,2,1
Minturn Town,Neighboring AMI - Pitkin County,25,3,1
Minturn Town,Neighboring AMI - Routt County,25,3,1
Minturn Town,Neighboring AMI - Summit County,25,3,1
Minturn Town,Own AMI - Eagle County,44,4,2
Minturn Town,State Median Income,15,2,1
Moffat County (Unincorporated),"Neighboring AMI - Carbon County, WY",238,22,8
Moffat County (Unincorporated),"Neighboring AMI - Daggett County, UT",324,30,10
Moffat County (Unincorporated),Neighboring AMI - Rio Blanco County,239,22,8
Moffat County (Unincorporated),Neighboring AMI - Routt County,324,30,10
Moffat County (Unincorporated),"Neighboring AMI - Sweetwater County, WY",325,30,10
Moffat County (Unincorporated),"Neighboring AMI - Uintah County, UT",239,22,8
Moffat County (Unincorporated),Own AMI - Moffat County,240,22,8
Moffat County (Unincorporated),State Median Income,238,22,8
Moffat Town,"Neighboring AMI - Alamosa County, Chaffee County, Custer County, Fremont County, Hinsdale County, Huerfano County, Mineral County, Rio Grande County, Saguache County",15,2,1
Moffat Town,Neighboring AMI - Gunnison County,15,2,1
Moffat Town,Own AMI - Saguache County,15,2,1
Moffat Town,State Median Income,15,2,1
Monte Vista City,"Neighboring AMI - Alamosa County, Archuleta County, Conejos County, Mineral County, Rio Grande County, Saguache County",535,49,17
Monte Vista City,Own AMI - Rio Grande County,535,49,17
Monte Vista City,State Median Income,533,48,16
Montezuma County (Unincorporated),"Neighboring AMI - Apache County, AZ",388,35,12
Montezuma County (Unincorporated),"Neighboring AMI - Dolores County, Montezuma County, San Juan County",829,75,25
Montezuma County (Unincorporated),Neighboring AMI - La Plata County,1094,99,33
Montezuma County (Unincorporated),"Neighboring AMI - San Juan County, NM",572,52,18
Montezuma County (Unincorporated),"Neighboring AMI - San Juan County, UT",828,75,25
Montezuma County (Unincorporated),Own AMI - Montezuma County,829,75,25
Montezuma County (Unincorporated),State Median Income,825,75,25
Montezuma Town,"Neighboring AMI - Clear Creek County, Park County",15,2,1
Montezuma Town,Neighboring AMI - Eagle County,15,2,1
Montezuma Town,Neighboring AMI - Grand County,2,1,1
Montezuma Town,Neighboring AMI - Lake County,2,1,1
Montezuma Town,Own AMI - Summit County,8,1,1
Montezuma Town,State Median Income,2,1,1
Montrose City,"Neighboring AMI - Delta County, Mesa County, Montrose County",1799,162,54
Montrose City,"Neighboring AMI - Grand County, UT, San Juan County, UT",1798,162,54
Montrose City,Neighboring AMI - Gunnison County,1790,162,54
Montrose City,Neighboring AMI - Ouray County,1789,162,54
Montrose City,Neighboring AMI - San Miguel County,2443,220,74
Montrose City,Own AMI - Montrose County,1799,162,54
Montrose City,State Median Income,1789,162,54
Montrose County (Unincorporated),"Neighboring AMI - Delta County, Mesa County, Montrose County",1031,93,31
